system,client,architecture,half,arm,mode,lambda,readout_gain,weighted_lambda
h9,0,ResNet10,u2,frozen,41,0.0007090339664055332,0.1805697886160305,0.0001280301134354328
h9,0,ResNet10,u2,frozen,42,0.0006803927389585838,0.1021621883636682,6.951041115875897e-05
h9,0,ResNet10,u2,frozen,43,0.0006222798855701053,0.12420980118189379,7.72932608661544e-05
h9,0,ResNet10,u2,frozen,44,0.0005506586592229234,0.11616136795480747,6.396526313149495e-05
h9,0,ResNet10,u2,frozen,45,0.00048308938951152695,0.08061648947087356,3.894497068304675e-05
h9,0,ResNet10,u2,frozen,46,0.00042293871906100365,0.15802949505617744,6.68367922129169e-05
h9,0,ResNet10,u2,frozen,47,0.0003597086832658384,0.08428798198888542,3.0319119016356678e-05
h9,0,ResNet10,u2,frozen,48,0.0003086713942163111,0.060777978039185776,1.876042321900381e-05
h9,0,ResNet10,u2,frozen,49,0.00029763966080752376,0.1534991790649196,4.568744359111603e-05
h9,0,ResNet10,u2,frozen,50,0.0002694463164443042,0.11767914781454021,3.170821290093265e-05
h9,0,ResNet10,u2,frozen,51,0.00023092592162938516,0.03790590494103376,8.753456033704086e-06
h9,0,ResNet10,u2,frozen,52,0.00020009948187848774,0.24962993859246188,4.9950821373710334e-05
h9,0,ResNet10,u2,frozen,53,0.00018191223114045544,0.12915188390288204,2.3494307356766343e-05
h9,0,ResNet10,u2,frozen,54,0.0001632988408088019,0.1276814583450288,2.0850234140520532e-05
h9,0,ResNet10,u2,frozen,55,0.00015561448752931346,0.11578500455276414,1.8017824147057616e-05
h9,0,ResNet10,u2,frozen,56,0.00014008386255165455,0.05729064321358831,8.025494589428185e-06
h9,0,ResNet10,u2,frozen,57,0.00012794041634519627,0.03729957541517308,4.772123208116291e-06
h9,0,ResNet10,u2,frozen,58,0.00010495255935670917,0.053672218073620916,5.633036653177938e-06
h9,0,ResNet10,u2,frozen,59,9.817568979922314e-05,0.03886413168697923,3.8155129368170315e-06
h9,0,ResNet10,u2,frozen,60,9.194665187959919e-05,0.0963529968897114,8.859335462574397e-06
h9,0,ResNet10,u2,frozen,61,7.514176995712225e-05,0.024590657092141012,1.8477854983121365e-06
h9,0,ResNet10,u2,frozen,62,6.230157528167177e-05,0.04701847698956841,2.9293251837951484e-06
h9,0,ResNet10,u2,frozen,63,4.625818592604865e-05,0.02780886049990771,1.2863874393962811e-06
h9,0,ResNet10,u2,frozen,64,4.1570051842252533e-05,0.034453595918743966,1.432237768494207e-06
